account_number,account_name,account_type,normal_balance,description,common_vendors
1000,Cash - Operating,Asset,Debit,Primary operating checking account,"Bank transfers, deposits"
1010,Cash - Payroll,Asset,Debit,Dedicated payroll checking account,"ADP, Gusto, Paychex"
1020,Cash - Savings,Asset,Debit,Business savings / money market account,"Marcus, Ally, Capital One"
1030,Cash - Petty Cash,Asset,Debit,Small cash on hand for incidental expenses,Office manager
1050,Cash - Merchant Services,Asset,Debit,Funds held in payment processor accounts,"Stripe, Square, PayPal"
1100,Accounts Receivable,Asset,Debit,Amounts owed by customers for goods/services delivered,Customer invoices
1110,Accounts Receivable - Retainers,Asset,Debit,Prepaid retainer balances from clients,Client retainer deposits
1120,Allowance for Doubtful Accounts,Asset,Credit,Contra-asset reserve for uncollectible AR,Internal estimate
1200,Inventory - Raw Materials,Asset,Debit,Raw materials purchased for manufacturing,Material suppliers
1210,Inventory - Work in Process,Asset,Debit,Partially completed goods in production,Internal transfers
1220,Inventory - Finished Goods,Asset,Debit,Completed goods available for sale,Internal transfers
1230,Inventory - Merchandise,Asset,Debit,Goods purchased for resale,Wholesale distributors
1250,Inventory Reserve,Asset,Credit,Contra-asset for obsolete or damaged inventory,Internal estimate
1300,Prepaid Insurance,Asset,Debit,Insurance premiums paid in advance,"State Farm, Hartford, Hiscox"
1310,Prepaid Rent,Asset,Debit,Rent paid in advance,Landlord / property manager
1320,Prepaid Software Subscriptions,Asset,Debit,Annual SaaS subscriptions paid upfront,"Salesforce, HubSpot, Adobe"
1330,Prepaid Advertising,Asset,Debit,Advertising costs paid in advance,"Google Ads, Meta Ads"
1340,Prepaid Taxes,Asset,Debit,Estimated tax payments made in advance,IRS / State tax authority
1350,Prepaid Other,Asset,Debit,Other prepaid expenses not classified elsewhere,Various
1400,Employee Advances,Asset,Debit,Short-term loans or advances to employees,Payroll system
1410,Notes Receivable - Current,Asset,Debit,Promissory notes receivable due within 12 months,Borrowers
1420,Interest Receivable,Asset,Debit,Accrued interest income not yet received,Banks / borrowers
1430,Other Current Assets,Asset,Debit,Miscellaneous current assets,Various
1500,Security Deposits,Asset,Debit,Deposits held by landlords or utilities,"Landlord, utility companies"
1510,Loans to Officers,Asset,Debit,Loans made to company officers or shareholders,Officers
1520,Loans to Related Parties,Asset,Debit,Loans to affiliated companies or related persons,Related entities
1600,Land,Asset,Debit,Cost of land owned by the business,Real estate transactions
1610,Buildings,Asset,Debit,Cost of buildings owned by the business,Construction / purchase
1615,Accumulated Depreciation - Buildings,Asset,Credit,Contra-asset for building depreciation,Internal calculation
1620,Leasehold Improvements,Asset,Debit,Improvements to leased space,Contractors / build-out
1625,Accumulated Depreciation - Leasehold Improvements,Asset,Credit,Contra-asset for leasehold improvement depreciation,Internal calculation
1630,Furniture and Fixtures,Asset,Debit,"Desks, chairs, shelving, display cases","IKEA, Steelcase, Herman Miller"
1635,Accumulated Depreciation - Furniture and Fixtures,Asset,Credit,Contra-asset for furniture depreciation,Internal calculation
1640,Computer Equipment,Asset,Debit,"Servers, desktops, laptops, monitors","Dell, Apple, Lenovo, HP"
1645,Accumulated Depreciation - Computer Equipment,Asset,Credit,Contra-asset for computer equipment depreciation,Internal calculation
1650,Machinery and Equipment,Asset,Debit,Production machinery and specialized equipment,"Caterpillar, John Deere, various"
