deduction,limit,phase_out,applies_to,form_line,notes
Standard Deduction - Single,"$15,350",N/A,Individual (1040),Form 1040 Line 13,Increased from $14900 in 2024; additional $1950 if blind or age 65+
Standard Deduction - MFJ,"$30,700",N/A,Individual (1040),Form 1040 Line 13,Increased from $29200 in 2024; additional $1550 per qualifying spouse if blind or age 65+
Standard Deduction - MFS,"$15,350",N/A,Individual (1040),Form 1040 Line 13,Same as single filer amount
Standard Deduction - HOH,"$22,500",N/A,Individual (1040),Form 1040 Line 13,Head of Household filing status
Qualified Business Income (QBI) Deduction,20% of QBI,"Taxable income: Single >$197,300 / MFJ >$394,600 (full phase-out at $247,300 / $494,600)",Individual / Pass-through,Form 8995 or 8995-A,"Section 199A. Specified service trades (law, health, consulting) subject to phase-out. W-2 wage / UBIA limitation applies above threshold."
Traditional IRA Contribution,"$7,000","Single w/ employer plan: MAGI $79,000-$89,000; MFJ w/ employer plan: $126,000-$146,000",Individual,Form 1040 Schedule 1 Line 20,"Catch-up: additional $1,000 if age 50+. Full deduction if no employer plan regardless of income."
Roth IRA Contribution,"$7,000","Single: MAGI $150,000-$165,000; MFJ: $236,000-$246,000",Individual,N/A (not deductible),"Not tax-deductible but tax-free growth. Catch-up: additional $1,000 if age 50+. Backdoor Roth available above limits."
401(k) Employee Deferral,"$23,500",N/A,"Individual (employee), all entity types",W-2 / Payroll,"Catch-up: additional $7,500 if age 50+. Super catch-up: $11,250 if ages 60-63 (SECURE 2.0). Total employee + employer limit $70,000."
SEP-IRA Contribution,"$70,000 or 25% of compensation",N/A,"Self-employed / S-Corp / C-Corp",Form 1040 Schedule 1 / Corporate return,"Self-employed: ~20% of net SE income after SE tax deduction. Employer contribution only; no employee deferral."
SIMPLE IRA Employee Deferral,"$16,500",N/A,Individual (employee),W-2 / Payroll,"Catch-up: additional $3,500 if age 50+. Employer must match up to 3% or contribute 2% non-elective."
Solo 401(k) Total Contribution,"$70,000",N/A,Self-employed (no employees),Form 1040 Schedule 1,"Employee deferral ($23,500) + employer profit sharing (25% of comp). Catch-up adds $7,500 if 50+."
HSA Contribution - Self Only,"$4,300",N/A,Individual with HDHP,Form 8889,"Catch-up: additional $1,000 if age 55+. Must have qualifying HDHP. Triple tax advantage."
HSA Contribution - Family,"$8,550",N/A,Individual with HDHP (family),Form 8889,"Catch-up: additional $1,000 if age 55+. HDHP minimum deductible: $1,650 self / $3,300 family."
